Course,Credit,Cost
EEX3467,4,15960
EEI3346,3,11970
EEI3262,2,7980
EEI3266,2,7980
EEX3373,3,11970
AGM3263,2,7980
MHZ3459,4,15960
EEI4346,3,11970
EEM3366,3,11970
EEI3372,3,11970
LLJ3265,2,7980
EEI4267,2,7980
EEI4362,3,11970
EEX4465,4,15960
MHZ4256,2,7980
EEI4361,3,11970
AGM4367,3,11970
EEY4189,1,3990
MHZ4377,3,11970
EEI5467,4,15960
EEX4373,3,11970
EEI5270,2,7980
MHZ5375,3,11970
EEX5563,5,19950
EEW5811,8,31920
CVM5402,4,15960
MHJ5372,3,11970
EEY6189,1,3990
EEI5280,2,7980
EEI5466,4,15960
DMM6601,6,23940
EEI6360,3,11970
EEI6171,1,3990
EEI6567,5,19950
EEM6202,2,7980
EEX6363,3,11970
EEY6689,6,23940
EEX6340,3,11970
EEX6278,2,7980
EEX6377,3,11970
FDE3020,0,0
MHZ2250,2,7980
EEI3668,6,23940
MHJ4271,2,7980
EEX5464,4,15960
EEX3417,4,15960
FDE3023,0,0
LTE3407,4,15960
MHZ2250,2,7980
EEX3467,4,15960
EEI3346,3,11970
EEI3266,2,7980
EEX3373,3,11970
MHZ3459,4,15960
EEI3262,2,7980
AGM3263,2,7980
